HPO	All_mean	All_sd
Face_Width	861.7826698	28.18331608
Face_Height	613.8543762	36.65695577
Jaw_Symmetry	0.984107008	0.120337742
Jaw_Width	745.1734801	25.56712129
Chin_Height	142.1182885	39.28619893
Chin_Width	421.0140716	15.58089727
Chin_Pointed	139.3030034	5.999171368
Mouth_Width	284.3198412	23.45671935
Mouth_Symmetry	1.012656676	0.149686682
Eye_Width_avg	168.3904452	10.35759669
Nose_Width	277.7991072	16.09306709
Upperlip_Thickness	32.45236693	6.067250357
Lowerlip_Thickness	49.34956418	8.609760173
Upperlip_Width	182.6503554	12.8787104
Upperlip_Shape	152.8708154	2.689990223
Eye_Distance_inner	271.333616	15.88587283
Eye_Distance_outer	607.5591173	30.14602141
Nasalbridge_Height	178.6836655	27.9583797
Nasalbase_Width	102.419279	8.727298667
Nasaltip_Deviation	0.998553066	0.113627666
Philtrum_Width	70.199992	4.957766334
Philtrum_Height	110.0076425	15.43314849
Philtralridge	21.7262312	6.637308277
